,Date,Open,High,Low,Close,Volume,ROE,PBR,PER
0,2014-01-02,31500,31650,30800,31200,288803,19.1,0.9,5
1,2014-01-03,30900,31000,30350,30800,223107,19.1,0.9,5
2,2014-01-06,30500,31850,30500,31300,433509,19.1,0.9,5
3,2014-01-07,31000,31900,31000,31200,331025,19.1,0.9,5
4,2014-01-08,31250,32200,31250,32000,541324,19.1,0.9,5
5,2014-01-09,32000,32200,31650,31800,318778,19.1,0.9,5
6,2014-01-10,32300,33200,32200,32800,689433,19.1,0.9,5
7,2014-01-13,32800,33050,31800,32600,362347,19.1,0.9,5
8,2014-01-14,32200,33350,32150,33100,385215,19.1,0.9,5
9,2014-01-15,33100,33500,32850,33500,250407,19.1,0.9,5
10,2014-01-16,33500,33800,33150,33500,214106,19.1,0.9,5
11,2014-01-17,33500,33500,32650,32750,246207,19.1,0.9,5
12,2014-01-20,32500,33500,32000,33350,234068,19.1,0.9,5
13,2014-01-21,33150,33300,33000,33200,165811,19.1,0.9,5
14,2014-01-22,33100,33650,32900,33600,187663,19.1,0.9,5
15,2014-01-23,33800,34000,33400,33500,223969,19.1,0.9,5
16,2014-01-24,33400,33850,32850,33800,331337,19.1,0.9,5
17,2014-01-27,33050,33700,32900,32900,402182,19.1,0.9,5
18,2014-01-28,32900,33150,32700,32900,247634,19.1,0.9,5
19,2014-01-29,32950,35350,32950,35350,1031953,19.1,0.9,5
20,2014-02-03,35250,35800,34900,35700,489922,19.1,0.9,5
21,2014-02-04,35150,35400,34400,34400,524270,19.1,0.9,5
22,2014-02-05,34600,35950,34350,35700,598422,19.1,0.9,5
23,2014-02-06,35900,36500,34750,34750,492087,19.1,0.9,5
24,2014-02-07,35050,35450,34050,34500,377201,19.1,0.9,5
25,2014-02-10,34500,35050,34450,34650,167781,19.1,0.9,5
26,2014-02-11,35000,35000,33750,33900,319325,19.1,0.9,5
27,2014-02-12,34000,34200,33250,33300,378578,19.1,0.9,5
28,2014-02-13,33450,34150,33350,33550,235240,19.1,0.9,5
29,2014-02-14,33600,34700,33600,34550,264586,19.1,0.9,5
30,2014-02-17,34700,35000,34200,35000,152559,19.1,0.9,5
31,2014-02-18,35000,35100,34200,34500,175331,19.1,0.9,5
32,2014-02-19,34550,34600,33700,33950,222646,19.1,0.9,5
33,2014-02-20,33800,33900,32900,32900,350509,19.1,0.9,5
34,2014-02-21,33150,34550,33100,34400,392674,19.1,0.9,5
35,2014-02-24,34400,34450,33750,33750,142479,19.1,0.9,5
36,2014-02-25,33850,34800,33850,34650,184966,19.1,0.9,5
37,2014-02-26,34400,34750,34100,34450,175352,19.1,0.9,5
38,2014-02-27,34300,35000,34200,35000,317572,19.1,0.9,5
39,2014-02-28,35100,35750,34400,34550,509260,19.1,0.9,5
40,2014-03-03,34250,34950,34150,34200,262982,19.1,0.9,5
41,2014-03-04,34000,34350,33500,33950,332078,19.1,0.9,5
42,2014-03-05,34300,35900,34300,35900,657170,19.1,0.9,5
43,2014-03-06,36200,37800,35950,37600,1072861,19.1,0.9,5
44,2014-03-07,37600,38200,37350,37650,523291,19.1,0.9,5
45,2014-03-10,37800,38600,37500,38000,567958,19.1,0.9,5
46,2014-03-11,38000,38500,37550,38050,354796,19.1,0.9,5
47,2014-03-12,38000,38300,37400,37400,292937,19.1,0.9,5
48,2014-03-13,38000,39100,37450,39000,877553,19.1,0.9,5
49,2014-03-14,38450,38450,35600,35700,1184794,19.1,0.9,5
50,2014-03-17,35400,36400,34450,36300,733400,19.1,0.9,5
51,2014-03-18,36900,37550,36450,36750,769265,19.1,0.9,5
52,2014-03-19,36900,37900,36900,37250,297025,19.1,0.9,5
53,2014-03-20,37250,37450,37000,37000,212995,19.1,0.9,5
54,2014-03-21,37550,38850,37350,38500,912795,19.1,0.9,5
55,2014-03-24,38250,38700,37500,38200,450217,19.1,0.9,5
56,2014-03-25,38200,38700,37450,37500,327522,19.1,0.9,5
57,2014-03-26,37950,38500,37050,37050,363044,19.1,0.9,5
58,2014-03-27,37200,37600,36800,37400,244682,19.1,0.9,5
59,2014-03-28,37400,38550,37200,38400,334042,19.1,0.9,5
60,2014-03-31,38350,39200,37450,38550,478251,19.1,0.9,5
61,2014-04-01,38100,38500,37550,38300,376803,19.1,0.9,5
62,2014-04-02,38500,38750,38100,38600,277488,19.1,0.9,5
63,2014-04-03,38600,38800,37900,37950,383720,19.1,0.9,5
64,2014-04-04,37800,38250,37500,37750,404434,19.1,0.9,5
65,2014-04-07,37650,38000,37000,37050,278701,19.1,0.9,5
